handle,contestId,contestName,rank,ratingUpdateTimeSeconds,oldRating,newRating
Something,385,Codeforces Round #226 (Div. 2),2003,1390584900,0,1406
mrBansal,1141,Codeforces Round #547 (Div. 3),3485,1553013300,0,1430
mrBansal,1283,Codeforces Round #611 (Div. 3),564,1577559900,1430,1501
mrBansal,1270,Good Bye 2019,4301,1577639100,1501,1466
mrBansal,1287,Codeforces Round #612 (Div. 2),1779,1578240300,1466,1487
mrBansal,1291,Codeforces Round #616 (Div. 2),5284,1580661300,1487,1417
mrBansal,1296,Codeforces Round #617 (Div. 3),707,1580834100,1417,1508
mrBansal,1301,Codeforces Round #619 (Div. 2),1114,1581611700,1508,1591
mrBansal,1311,Codeforces Round #624 (Div. 3),1575,1582562100,1591,1566
mrBansal,1328,Codeforces Round #629 (Div. 3),260,1585240500,1566,1681
mrBansal,1341,"Codeforces Round #637 (Div. 2) - Thanks, Ivan Belonogov!",872,1587662100,1681,1747
mrBansal,1348,Codeforces Round #638 (Div. 2),3156,1588352700,1747,1724
ysampriti69,1269,Codeforces Round #609 (Div. 2),3370,1576933500,0,1435
ysampriti69,1283,Codeforces Round #611 (Div. 3),4836,1577559900,1435,1340
ysampriti69,1270,Good Bye 2019,5351,1577639100,1340,1310
ysampriti69,1293,Codeforces Round #614 (Div. 2),3819,1579448100,1310,1311
ysampriti69,1291,Codeforces Round #616 (Div. 2),6556,1580661300,1311,1239
ysampriti69,1296,Codeforces Round #617 (Div. 3),6109,1580834100,1239,1213
ysampriti69,1301,Codeforces Round #619 (Div. 2),3019,1581611700,1213,1296
ysampriti69,1313,Codeforces Round #622 (Div. 2),1075,1582455900,1296,1441
ysampriti69,1315,"Codeforces Round #623 (Div. 2, based on VK Cup 2019-2020 - Elimination Round, Engine)",2626,1582482900,1441,1371
ysampriti69,1311,Codeforces Round #624 (Div. 3),2673,1582562100,1371,1365
ysampriti69,1325,Codeforces Round #628 (Div. 2),7492,1584203700,1365,1289
ysampriti69,1327,Educational Codeforces Round 84 (Rated for Div. 2),9023,1584981300,1289,1256
ysampriti69,1328,Codeforces Round #629 (Div. 3),9054,1585240500,1256,1228
ysampriti69,1330,"Codeforces Round #631 (Div. 2) - Thanks, Denis aramis Shitov!",8326,1585931700,1228,1193
ysampriti69,1333,Codeforces Round #632 (Div. 2),8367,1586363700,1193,1196
ysampriti69,1334,Educational Codeforces Round 85 (Rated for Div. 2),6073,1586536500,1196,1262
ysampriti69,1339,Codeforces Round #633 (Div. 2),5597,1586707500,1262,1285
ysampriti69,1335,Codeforces Round #634 (Div. 3),10890,1586795700,1285,1233
ysampriti69,1337,Codeforces Round #635 (Div. 2),5404,1586970300,1233,1289
ysampriti69,1343,Codeforces Round #636 (Div. 3),5727,1587486900,1289,1306
ysampriti69,1341,"Codeforces Round #637 (Div. 2) - Thanks, Ivan Belonogov!",7291,1587662100,1306,1315
ysampriti69,1348,Codeforces Round #638 (Div. 2),9482,1588352700,1315,1283
ysampriti69,1352,Codeforces Round #640 (Div. 4),4719,1589042100,1283,1286
ysampriti69,1363,Codeforces Round #646 (Div. 2),9913,1590942900,1286,1177
ysampriti69,1371,Codeforces Round #654 (Div. 2),12812,1593617700,1177,1083
